epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,472.367,0.99456,1.56402,1.51666,0.00813,0.77971,0.51927,0.40357,0.4054,0.30493,0.48837,0.38486,0.38521,0.27941,1.14479,2.18738,2.47624,0.01478,0,0.000301641,0.000301641,0.000301641
39,484.817,0.98494,1.55617,1.51745,0.00802,0.75812,0.56012,0.37038,0.39814,0.29665,0.54533,0.35784,0.38354,0.27898,1.14966,2.17513,2.43449,0.0148,0,0.000296929,0.000296929,0.000296929
40,497.237,0.98228,1.51647,1.5057,0.0078,0.74763,0.5298,0.39681,0.41141,0.31,0.52178,0.38808,0.40157,0.292,1.16008,2.23489,2.42735,0.01501,0,0.000292216,0.000292216,0.000292216
41,509.596,0.9784,1.54652,1.50022,0.00786,0.78887,0.54894,0.4202,0.42344,0.3235,0.55107,0.41656,0.41895,0.2989,1.1543,2.18147,2.27697,0.01473,0,0.000287504,0.000287504,0.000287504
42,521.638,0.97779,1.52005,1.44416,0.00817,0.71484,0.59087,0.41634,0.43109,0.32487,0.58755,0.41325,0.42552,0.30798,1.14494,2.25235,2.36439,0.01501,0,0.000282792,0.000282792,0.000282792
43,533.919,0.97599,1.52753,1.44013,0.00807,0.71081,0.5347,0.38855,0.4174,0.31222,0.53819,0.39115,0.41882,0.29814,1.15864,2.29929,2.32912,0.01511,0,0.000278079,0.000278079,0.000278079
44,546.722,0.95698,1.48748,1.40703,0.00767,0.70027,0.58387,0.39914,0.41872,0.3078,0.58284,0.39357,0.41282,0.2951,1.18641,2.25671,2.32606,0.01525,0,0.000273367,0.000273367,0.000273367
45,558.96,0.97416,1.48692,1.41413,0.00798,0.68212,0.5799,0.38334,0.40539,0.29497,0.58734,0.38908,0.41123,0.28487,1.18,2.24747,2.34217,0.0156,0,0.000268654,0.000268654,0.000268654
46,570.979,0.95795,1.49407,1.39395,0.00797,0.71003,0.59745,0.40509,0.43428,0.32244,0.60906,0.40012,0.42905,0.30642,1.15589,2.20838,2.29146,0.01525,0,0.000263942,0.000263942,0.000263942
47,582.892,0.97689,1.50878,1.37541,0.00808,0.677,0.58514,0.39572,0.42219,0.31772,0.5881,0.39731,0.42172,0.30249,1.16933,2.24426,2.27908,0.01534,0,0.00025923,0.00025923,0.00025923
48,594.942,0.98986,1.51866,1.40993,0.00769,0.67815,0.56205,0.40458,0.40731,0.30379,0.54843,0.40266,0.4051,0.29023,1.18179,2.22663,2.35386,0.01546,0,0.000254517,0.000254517,0.000254517
49,607.109,0.9526,1.47788,1.33492,0.00741,0.66997,0.58784,0.38699,0.41371,0.30607,0.54083,0.40141,0.4053,0.29299,1.19544,2.27803,2.35804,0.01546,0,0.000249805,0.000249805,0.000249805
50,619.42,0.94638,1.43981,1.34669,0.00765,0.65309,0.55016,0.39422,0.41234,0.31028,0.54744,0.38794,0.4045,0.29652,1.16366,2.1719,2.3369,0.01498,0,0.000245092,0.000245092,0.000245092
